author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
ID 122303096;homeowner;https://dmitrov.cian.ru/sale/flat/307870339/;Дтров;3;9;2;53,6;8600000;1990;27,8 ;7,4 ;Дтров; Подъячева;;
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306365245/;Долгопрудный;17;19;3;86,9;16500000;2014;56,7 ;9,7 ;;проспект Ракетостроителей;Долгопрудная;
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308070242/;Долгопрудный;7;10;3;77,0;16500000;2006;47,4 ;12,8 ;;Центральная ;Долгопрудная;
Николай Ларионов;realtor;https://dolgoprudny.cian.ru/sale/flat/307685496/;Долгопрудный;7;10;2;69,6;17800000;2005;36,3 ;11,3 ;;проспект Пацаева;Водники;
МетриуПреу- отдел вторичной недвижисти;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307592709/;Долгопрудный;6;16;3;92,0;23500000;2015;50 ;15 ;;Набережная ;Водники;Московские водники
ID 69265912;homeowner;https://dolgoprudny.cian.ru/sale/flat/307775344/;Долгопрудный;1;2;2;45,0;4800000;1952;-1,0;5 ;; 25-го съезда;Шеретьевская;
ID 70678731;unknown;https://dolgoprudny.cian.ru/sale/flat/303334837/;Долгопрудный;14;24;1;40,5;7400000;2023;20 ;16 ;;Парковая ;Водники;Бригантина
ID 33879885;homeowner;https://dolgoprudny.cian.ru/sale/flat/307185580/;Долгопрудный;4;9;1;37,1;8200000;2001;19 ;10 ;;Молодежная ;Долгопрудная;
Марта Пашкова;realtor;https://dolgoprudny.cian.ru/sale/flat/304743550/;Долгопрудный;4;5;3;55,0;8400000;1965;38,5 ;5,5 ;; Циолковского;Долгопрудная;
ID 89919508;unknown;https://dolgoprudny.cian.ru/sale/flat/308686439/;Долгопрудный;1;5;2;41,1;7350000;-1;30 ;6 ;;Первойская ;Долгопрудная;
Салет плюс - Хии;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/304589764/;Долгопрудный;3;5;2;44,7;7450000;-1;30 ;6 ;; Акадека Лаврентьева;Долгопрудная;
ID 90991164;homeowner;https://dolgoprudny.cian.ru/sale/flat/306259589/;Долгопрудный;4;5;2;44,6;7500000;1976;-1,0;6 ;;Театральная ;Водники;
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308115570/;Долгопрудный;5;23;1;36,7;6950000;2023;14,2 ;14,2 ;;Парковая ;Водники;Бригантина
Салет Плюс  Павловский Посад;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308462163/;Долгопрудный;17;19;2;66,1;14000000;-1;32 ;10 ;;проспект Ракетостроителей;Долгопрудная;
ID 122568;unknown;https://dolgoprudny.cian.ru/sale/flat/308550511/;Долгопрудный;5;5;1;31,4;7800000;1974;17,1 ;6 ;;Лихачевское шоссе;Водники;
Городские квартиры;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306945504/;Долгопрудный;2;23;1;32,4;8350000;2021;14,7 ;9,2 ;;Парковая ;Водники;Бригантина
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308418750/;Долгопрудный;9;17;1;43,2;9350000;2009;-1,0;9 ;;Лихачевский проспект;Долгопрудная;
ID 143898;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308175430/;Долгопрудный;3;17;1;46,0;10300000;2016;21 ;14 ;;Старое Дтровское шоссе;Водники;Московские водники
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/305636298/;Долгопрудный;9;9;3;58,0;11500000;1978;37,4 ;7 ;;Лихачевское шоссе;Водники;
ID 62842364;homeowner;https://dolgoprudny.cian.ru/sale/flat/303163427/;Долгопрудный;14;19;1;42,4;12980000;2008;-1,0;-1,0;;Спортивная ;Долгопрудная;
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308044929/;Долгопрудный;10;19;2;66,1;16800000;2014;-1,0;11,4 ;;проспект Ракетостроителей;Долгопрудная;
ДИАЛЬ-НЕДВИЖИМОСТЬ;real_estate_agent;https://domodedovo.cian.ru/sale/flat/306364880/;Додедово;5;9;2;54,1;8490000;1979;29,6 ;8 ;р. Авиационный; Королева;;
Маргарита Медведева;realtor;https://domodedovo.cian.ru/sale/flat/294907725/;Додедово;6;9;2;50,5;7100000;1995;34 ;9 ;; Дачная;Подольск;
EstateLiga;real_estate_agent;https://domodedovo.cian.ru/sale/flat/307446985/;Додедово;5;17;2;55,0;7700000;2017;30 ;9,5 ;; Донская;Царицыно;Микрорайон Город Счастья
Маргарита Медведева;realtor;https://domodedovo.cian.ru/sale/flat/306503042/;Додедово;5;17;1;44,9;6500000;2006;18 ;12 ;; Северная;Подольск;
Подсковные вечера;real_estate_agent;https://domodedovo.cian.ru/sale/flat/307229882/;Додедово;4;4;2;48,0;9600000;2017;31 ;12 ;; Батырева;Подольск;
DmD;real_estate_agent;https://domodedovo.cian.ru/sale/flat/304594200/;Додедово;3;17;2;61,0;9700000;-1;30,7 ;11,5 ;; Лоносова;Подольск;
PORTAL ESTATE;real_estate_agent;https://domodedovo.cian.ru/sale/flat/294457367/;Додедово;11;15;2;60,0;12699000;-1;30 ;14 ;; Лунная;Подольск;
RealLife;real_estate_agent;https://domodedovo.cian.ru/sale/flat/304242820/;Додедово;4;13;3;75,4;12800000;2009;47,9 ;10,1 ;; Лунная;Подольск;
ID 94841571;homeowner;https://domodedovo.cian.ru/sale/flat/289164667/;Додедово;8;17;1;40,0;6550000;2013;20 ;10 ;р. Западный; Текстильщиков;;Мкр. Западный
ID 67232197;homeowner;https://domodedovo.cian.ru/sale/flat/307586905/;Додедово;2;17;1;42,0;6600000;2019;20 ;10 ;; Гагарина;Подольск;Мкр. Северный
ID 60717345;homeowner;https://domodedovo.cian.ru/sale/flat/303850730/;Додедово;7;9;1;35,0;6633000;-1;-1,0;-1,0;р. Центрального;Подольский проезд;;
ID 467698;realtor;https://domodedovo.cian.ru/sale/flat/308387902/;Додедово;5;9;2;50,0;7790000;1982;30 ;10 ;; Талалихина;Подольск;
Наталия Селифонова;realtor;https://domodedovo.cian.ru/sale/flat/306819235/;Додедово;10;19;2;55,0;8300000;2017;32 ;10 ;; Курыжова;Подольск;Додедовский
ID 93402855;homeowner;https://domodedovo.cian.ru/sale/flat/303835983/;Додедово;1;3;3;78,0;10500000;2015;50 ;21 ;Белые Столбы р; Мечты;;
ID 117615705;homeowner;https://domodedovo.cian.ru/sale/flat/303172946/;Додедово;5;9;3;125,0;38000000;2005;76 ;12 ;;Каширское шоссе;Подольск;
Владис;real_estate_agent;https://domodedovo.cian.ru/sale/flat/306671340/;Додедово;10;17;1;36,6;6500000;2017;18 ;8,2 ;; Южнододедовская;Подольск;Додедовский
Homeapp;real_estate_agent;https://domodedovo.cian.ru/sale/flat/299226931/;Додедово;10;10;2;53,2;10000000;2000;29,6 ;8,8 ;;проезд 1-й Московский;Подольск;
ID 121508724;homeowner;https://domodedovo.cian.ru/sale/flat/308812622/;Додедово;4;8;1;42,0;6750000;2010;30 ;12 ;; Лунная;Подольск;
ID 266919;realtor;https://dzerzhinsky.cian.ru/sale/flat/300221203/;Дзержинский;10;14;3;76,0;11500000;1987;43 ;12 ;;Дзержинская ;Котельники;
ID 114906806;homeowner;https://dzerzhinsky.cian.ru/sale/flat/307068285/;Дзержинский;1;5;3;58,8;8000000;1968;41,6 ;5,9 ;; Строителей;Котельники;
Владис Егорьевск;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/307104587/;Егорьевск;1;5;2;57,0;5000000;1991;31,2 ;11,7 ;;;;
Maitre Rochet Сто ключей - офис 2;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/307891760/;Егорьевск;7;9;2;43,0;4250000;-1;30 ;7 ;;;;
Столичная Недвижисть.;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/302503431/;Егорьевск;4;9;2;56,2;5500000;2009;30,6 ;8 ;Егорьевск;Сосновая ;;
Ваше Подсковье;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/302384324/;Егорьевск;2;2;2;40,0;3230000;1962;25 ;8 ;Егорьевск;переулок Некрасова;;
Салет Плюс Егорьевск;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/308561285/;Егорьевск;5;9;2;50,0;6150000;-1;38 ;7 ;;;;
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/305340828/;Голицыно;3;6;3;84,6;59900000;1910;-1,0;11,7 ;Пресненский;Трехпрудный переулок;Маяковская;
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/301078527/;Голицыно;4;5;1;47,0;41600000;2021;13 ;16 ;Заскворечье;Озерковская набережная;Новокузнецкая;Bogenhouse
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/306835123/;Голицыно;4;8;5;117,0;58500000;1939;-1,0;10 ;Пресненский;Большая Садовая ;Маяковская;
BRIGHT ESTATE - городская недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/306666399/;Голицыно;7;21;4;126,3;57000000;-1;-1,0;19 ;Ранки; Лобачевского;Аньевская;Событие
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/302341293/;Голицыно;5;5;5;250,0;130000000;1914;200 ;30 ;Пресненский; Спиридоновка;Баррикадная;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306268386/;Голицыно;66;79;3;113,0;150000000;2019;30 ;34 ;Пресненский;1-й Красногвардейский проезд;Москва-Сити;NEVA TOWERS
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308255881/;Голицыно;13;16;3;65,0;26000000;1987;-1,0;12 ;Кунцево;Кунцевская ;Рабочий посёлок;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296403571/;Голицыно;4;8;2;64,0;39900000;-1;39 ;10 ;Тверской;Благовещенский переулок;Маяковская;
Мост Недвижисть;real_estate_agent;https://istra.cian.ru/sale/flat/308264759/;Истра;3;5;2;45,2;6650000;-1;29 ;6 ;Истра;Юбилейная ;;
ГОРОДА;real_estate_agent;https://istra.cian.ru/sale/flat/303485693/;Истра;8;9;2;65,0;12600000;2018;35 ;12,3 ;;Пролетарская ;Нахабино;
ГОРОДА;real_estate_agent;https://istra.cian.ru/sale/flat/307870599/;Истра;1;4;3;50,0;8000000;1973;36 ;6 ;;Юбилейная ;Нахабино;
ГОРОДА;real_estate_agent;https://istra.cian.ru/sale/flat/307870600/;Истра;4;4;2;62,0;8450000;2023;38 ;10 ;;проспект Генерала Белобородова;Нахабино;
ID 17162822;realtor;https://istra.cian.ru/sale/flat/303094215/;Истра;2;4;1;40,9;6150000;2014;-1,0;13,6 ;;проспект Генерала Белобородова;Нахабино;
ID 149046;homeowner;https://istra.cian.ru/sale/flat/297089778/;Истра;8;9;2;65,0;12600000;2013;35 ;12,3 ;;Пролетарская ;Нахабино;
Елена Кобзева;realtor;https://kashira.cian.ru/sale/flat/308937266/;Кашира;3;4;1;41,3;3250000;-1;23 ;9,3 ;Кашира;проспект Советский;;
Метражи;real_estate_agent;https://kashira.cian.ru/sale/flat/300996737/;Кашира;5;5;2;41,8;4200000;1974;-1,0;5,6 ;Кашира;Юбилейная ;;
ID 46526420;homeowner;https://kashira.cian.ru/sale/flat/301072487/;Кашира;1;1;1;32,0;1300000;1953;17 ;13 ;Ожерелье р; Донбасская;;
АРГУМЕНТ;real_estate_agent;https://kashira.cian.ru/sale/flat/306972650/;Кашира;4;4;2;39,6;2950000;1961;27 ;6,4 ;Ожерелье р; Мира;;
Правовой центр жилья-эстейт;real_estate_agent;https://kashira.cian.ru/sale/flat/306458684/;Кашира;2;5;1;33,0;4800000;-1;18 ;6 ;Кашира;проспект Советский;;
ID 123273660;homeowner;https://kashira.cian.ru/sale/flat/308802138/;Кашира;5;5;2;42,0;3900000;1967;30 ;9 ;Кашира;Южная ;;
Города;real_estate_agent;https://kashira.cian.ru/sale/flat/307287375/;Кашира;3;4;2;44,1;2900000;1963;-1,0;6 ;Ожерелье р; Мира;;
Города;real_estate_agent;https://kashira.cian.ru/sale/flat/308515896/;Кашира;3;4;2;43,0;3600000;1963;-1,0;6 ;Кашира;Садовая ;;
Сбербанк;real_estate_agent;https://kashira.cian.ru/sale/flat/299025723/;Кашира;5;5;2;35,7;1444670;-1;24,7 ;6 ;Ожерелье р; Центролит;;
МаксиНиколаев;realtor;https://kashira.cian.ru/sale/flat/283452285/;Кашира;3;5;2;44,0;4000000;1973;30 ;6 ;Кашира; Металлургов;;
Проспект;real_estate_agent;https://kashira.cian.ru/sale/flat/303459044/;Кашира;2;2;2;39,8;2950000;-1;28 ;6 ;Ожерелье р; Мира;;
ID 22116482;homeowner;https://kashira.cian.ru/sale/flat/308810120/;Кашира;3;5;3;61,0;4000000;-1;42 ;5,6 ;Ожерелье р; Заводская;;
Города;real_estate_agent;https://kashira.cian.ru/sale/flat/308539289/;Кашира;4;5;2;42,0;4999999;1973;29 ;6 ;Кашира;Центральная ;;
Города;real_estate_agent;https://kashira.cian.ru/sale/flat/307474006/;Кашира;1;2;2;73,7;4500000;1963;-1,0;16 ;Ожерелье р; Центролит;;
ID 40036382;real_estate_agent;https://kashira.cian.ru/sale/flat/308797797/;Кашира;4;5;1;31,0;2990000;1978;17 ;6 ;Ожерелье р; Пионерская;;
Косполис;real_estate_agent;https://kashira.cian.ru/sale/flat/305392094/;Кашира;4;5;2;48,6;3970000;1969;28 ;6 ;Кашира;Юбилейная ;;
Города;real_estate_agent;https://kashira.cian.ru/sale/flat/308417474/;Кашира;3;5;2;55,0;4800000;1976;28 ;9 ;Кашира; Победы;;
ID 21045766;realtor;https://kashira.cian.ru/sale/flat/306185114/;Кашира;1;5;2;47,8;3300000;1988;30,5 ;7,8 ;Ожерелье р; Ленина;;
Города;real_estate_agent;https://kashira.cian.ru/sale/flat/306354633/;Кашира;2;5;2;51,0;4800000;1984;36 ;12 ;Кашира;Московская ;;
Города;real_estate_agent;https://kashira.cian.ru/sale/flat/301951362/;Кашира;3;3;2;69,6;5600000;2011;35,5 ;12,7 ;Кашира;Садовая ;;
Центр Недвижисти;real_estate_agent;https://kashira.cian.ru/sale/flat/305766685/;Кашира;3;4;3;40,6;2999999;-1;-1,0;6 ;Ожерелье р; Мира;;
Города;real_estate_agent;https://kashira.cian.ru/sale/flat/307263664/;Кашира;4;5;2;47,0;6000000;1980;27 ;7 ;Кашира; Вахрушева;;
Города;real_estate_agent;https://kashira.cian.ru/sale/flat/305609266/;Кашира;5;5;2;48,0;4500000;1989;29,7 ;7,1 ;Кашира;Новая ;;
Брусника Обн;real_estate_agent;https://kashira.cian.ru/sale/flat/308150629/;Кашира;3;5;2;43,8;2900000;-1;35 ;-1,0;Кашира;Центральная ;;
Салет Плюс Ступино;real_estate_agent;https://kashira.cian.ru/sale/flat/308750826/;Кашира;2;3;3;83,0;5750000;1952;51,8 ;6,1 ;Кашира; Металлистов;;
Новый Дом;real_estate_agent;https://kashira.cian.ru/sale/flat/307338705/;Кашира;1;5;1;35,0;4100000;1987;18 ;6 ;Кашира; Кржижановского;;
Центр Недвижисти;real_estate_agent;https://kashira.cian.ru/sale/flat/305946400/;Кашира;5;5;2;44,0;2798000;1972;-1,0;6 ;Кашира;Садовая ;;
Города;real_estate_agent;https://kashira.cian.ru/sale/flat/307384191/;Кашира;1;4;3;66,8;5300000;1982;47,2 ;8,6 ;Ожерелье р; Клубная;;
Метражи;real_estate_agent;https://kashira.cian.ru/sale/flat/301137380/;Кашира;3;5;3;65,9;4800000;1973;-1,0;6 ;Кашира; Металлургов;;
ИП Трунова Д. В.;real_estate_agent;https://kashira.cian.ru/sale/flat/308094971/;Кашира;2;3;1;32,0;3400000;1962;18 ;6 ;Кашира;Московская ;;
ID 9801958;unknown;https://kashira.cian.ru/sale/flat/307624589/;Кашира;1;5;2;48,6;3800000;1972;32,4 ;6 ;Кашира;Гвардейская ;;
НОВОСЁЛ;real_estate_agent;https://klin.cian.ru/sale/flat/265827669/;Клин;6;9;2;78,0;11800000;-1;34 ;12 ;;;;На се холх
АэНБИ;real_estate_agent;https://klin.cian.ru/sale/flat/303953491/;Клин;6;9;2;50,8;6200000;1986;27 ;8 ;Клин; Набережная Бычкова;;
Наталья Вагизова;realtor;https://klin.cian.ru/sale/flat/307960999/;Клин;4;5;2;53,3;6800000;-1;28 ;7,5 ;Клин; 60 лет Октября;;
СТОЛИЧНЫЙ РЕГИОН;real_estate_agent;https://klin.cian.ru/sale/flat/299559956/;Клин;5;5;3;56,3;6100000;1969;41,2 ;5,6 ;Клин; 50 лет Октября;;
ID 3547762;unknown;https://klin.cian.ru/sale/flat/299458502/;Клин;2;5;3;63,6;6800000;1982;38 ;10 ;Клин-5 городок; Центральная;;
Анастасия Константинова;realtor;https://kolomna.cian.ru/sale/flat/307681125/;Колоа;4;9;2;48,8;5750000;1990;-1,0;10 ;р. Центральный;проспект Кирова;;
ДОМ.RU Колоа;real_estate_agent;https://kolomna.cian.ru/sale/flat/308595967/;Колоа;8;9;1;27,0;3499999;-1;-1,0;7 ;р. Митяево; Октябрьской Революции;;
ID 108796226;homeowner;https://kolomna.cian.ru/sale/flat/305548498/;Колоа;4;10;1;37,5;4880000;2007;17,2 ;12 ;р. Колычево; Девичье Поле;;
ID 111302629;homeowner;https://kolomna.cian.ru/sale/flat/296349736/;Колоа;8;15;1;43,7;9150000;-1;-1,0;-1,0;р. Репинский;Пионерская ;;
АЗБУКА НЕДВИЖИМОСТИ;real_estate_agent;https://kolomna.cian.ru/sale/flat/300188577/;Колоа;9;16;3;94,8;15300000;2015;55,5 ;15,9 ;р. Центральный; Гагарина;;
ID 93884427;realtor;https://kolomna.cian.ru/sale/flat/303855433/;Колоа;3;10;5;131,0;12500000;-1;-1,0;-1,0;р. Колычево; Девичье Поле;;
Мегалит;developer;https://korolev.cian.ru/sale/flat/287017743/;Королёв;18;19;1;461,0;9810130;2024;13,5 ;15,2 ;; Калинина;Медведково;ДоМегалит в Королёве
ТСН Владис;real_estate_agent;https://korolev.cian.ru/sale/flat/305185855/;Королёв;3;4;2;50,1;9200000;2019;21 ;16 ;;Бурковский проезд;Медведково;Театральный парк
Владир Лонов;realtor;https://korolev.cian.ru/sale/flat/308507652/;Королёв;7;9;2;37,2;4500000;1965;22,3 ;6,5 ;;Школьная ;Медведково;
Мегалит;developer;https://korolev.cian.ru/sale/flat/287017580/;Королёв;15;19;1;50,7;10158000;2024;14,8 ;16,9 ;; Калинина;Медведково;ДоМегалит в Королёве
Мегалит;developer;https://korolev.cian.ru/sale/flat/287017841/;Королёв;15;19;1;43,1;8461520;2024;17,7 ;10 ;; Калинина;Медведково;ДоМегалит в Королёве
Дтрий Мелентьев;realtor;https://korolev.cian.ru/sale/flat/308426090/;Королёв;1;5;2;40,5;4700000;-1;28,5 ;6 ;;Стадионная ;Медведково;
Мегалит;developer;https://korolev.cian.ru/sale/flat/292957543/;Королёв;5;19;3;107,7;18184878;2024;53 ;12,4 ;; Калинина;Медведково;ДоМегалит в Королёве
Александра Александрова;realtor;https://korolev.cian.ru/sale/flat/270356553/;Королёв;5;12;2;55,0;6500000;1979;29,2 ;8,1 ;; Пионерская;Медведково;
МОЯ СТОЛИЦА;real_estate_agent;https://korolev.cian.ru/sale/flat/308208132/;Королёв;4;4;1;163,0;2700000;-1;10 ;4 ;; Циолковского;Медведково;
Мегалит;developer;https://korolev.cian.ru/sale/flat/287017641/;Королёв;6;19;3;104,8;17809586;2024;59,8 ;14,5 ;; Калинина;Медведково;ДоМегалит в Королёве
Марина Соколова;realtor;https://korolev.cian.ru/sale/flat/306326061/;Королёв;3;14;1;40,0;5400000;1987;19 ;10,5 ;;проспект Коснавтов;Медведково;
Мегалит;developer;https://korolev.cian.ru/sale/flat/299261338/;Королёв;14;19;2;69,9;15924516;2024;33,2 ;12,2 ;; Калинина;Медведково;ДоМегалит в Королёве
ТСН Владис;real_estate_agent;https://korolev.cian.ru/sale/flat/307304400/;Королёв;3;5;1;31,2;4400000;1965;18 ;6 ;;Советская ;Медведково;
Мегалит;developer;https://korolev.cian.ru/sale/flat/299261341/;Королёв;12;19;2;74,2;18443103;2024;32,4 ;13,6 ;; Калинина;Медведково;ДоМегалит в Королёве
ТСН Владис;real_estate_agent;https://korolev.cian.ru/sale/flat/300935906/;Королёв;6;9;2;44,7;6000000;1968;26,1 ;8,5 ;; Лесная;Медведково;
Евгений Борисов;realtor;https://korolev.cian.ru/sale/flat/308284962/;Королёв;9;16;2;50,6;8000000;1989;30,7 ;9 ;; Горького;Медведково;
ТСН Владис;real_estate_agent;https://korolev.cian.ru/sale/flat/308750657/;Королёв;9;9;1;32,4;5300000;-1;18,2 ;6,2 ;; Мичурина;Щёлковская;
ТСН Владис;real_estate_agent;https://korolev.cian.ru/sale/flat/304443394/;Королёв;10;10;1;48,9;6500000;2002;15,6 ;9,5 ;; Циолковского;Медведково;
ТСН Владис;real_estate_agent;https://korolev.cian.ru/sale/flat/303830624/;Королёв;7;14;2;50,3;8900000;1988;30 ;8 ;;проспект Коснавтов;Медведково;
ТСН Владис;real_estate_agent;https://korolev.cian.ru/sale/flat/305362784/;Королёв;1;12;2;45,0;6000000;1970;26 ;6 ;; 50-летия ВЛКСМ;Медведково;
Ольга Протченко;realtor;https://korolev.cian.ru/sale/flat/305556429/;Королёв;13;16;1;37,8;6490000;1989;18 ;11 ;;проспект Коснавтов;Медведково;
Татьяна Берген;realtor;https://korolev.cian.ru/sale/flat/308545270/;Королёв;4;5;1;32,0;5350000;1962;17,5 ;6 ;;Садовая ;Медведково;
ТСН Владис;real_estate_agent;https://korolev.cian.ru/sale/flat/306941367/;Королёв;1;9;2;43,2;5400000;1968;27 ;8,5 ;; Лесная;Медведково;
;;https://korolev.cian.ru/sale/flat/303230080/;Королёв;3;4;2;45,1;8262654;2024;-1,0;-1,0;;;Щёлковская;Театральный Парк ЖК
Оксана Митрохина;realtor;https://korolev.cian.ru/sale/flat/301781849/;Королёв;5;9;2;43,9;7500000;1971;28 ;6 ;; Кирова;Медведково;
;;https://korolev.cian.ru/sale/flat/298345597/;Королёв;4;4;2;40,7;10829775;2024;-1,0;-1,0;;;Щёлковская;Театральный Парк ЖК
Дона Скале;real_estate_agent;https://korolev.cian.ru/sale/flat/305220180/;Королёв;3;9;3;53,0;8000000;-1;33,9 ;6 ;; 50-летия ВЛКСМ;Медведково;
Елена Фона;realtor;https://korolev.cian.ru/sale/flat/308893881/;Королёв;4;4;1;40,0;7900000;2018;22,9 ;5 ;;Бурковский проезд;Ботанический сад;Театральный парк
Наталья Полякова;realtor;https://korolev.cian.ru/sale/flat/307278091/;Королёв;5;9;3;60,5;8990009;-1;44,8 ;6 ;;проспект Королева;Медведково;
WHITE BROKER;real_estate_agent;https://korolev.cian.ru/sale/flat/307961899/;Королёв;6;17;2;64,9;9250000;2003;37 ;11 ;; Мичурина;Щёлковская;
Татьяна Зрелова;realtor;https://korolev.cian.ru/sale/flat/307220007/;Королёв;2;14;3;68,0;11100000;1988;40 ;9 ;;проспект Коснавтов;Медведково;
ГОРОД;real_estate_agent;https://korolev.cian.ru/sale/flat/289339593/;Королёв;11;18;2;64,0;11200000;2017;32 ;10 ;;Советская ;Медведково;River Park
Арда Хачатурова;realtor;https://korolev.cian.ru/sale/flat/296262979/;Королёв;9;22;2;77,0;15300000;2019;40,5 ;15 ;; Лернтова;Медведково;Лернтова 10
ID 86503320;homeowner;https://korolev.cian.ru/sale/flat/295015224/;Королёв;4;5;1;317,0;4500000;1959;-1,0;-1,0;; К.Д. Трофива;Медведково;
Показал-Продал;real_estate_agent;https://korolev.cian.ru/sale/flat/308185441/;Королёв;2;5;2;44,0;5590000;1960;27 ;6 ;;Садовая ;Медведково;
ID 114927837;homeowner;https://korolev.cian.ru/sale/flat/300337258/;Королёв;9;9;1;35,6;6100000;1991;17,2 ;8,5 ;; Малая Котетская;Медведково;
Салет Плюс Королёв;real_estate_agent;https://korolev.cian.ru/sale/flat/305380931/;Королёв;4;9;1;34,3;6650000;1996;16,8 ;8,8 ;; Маяковского;Медведково;
ID 109202549;homeowner;https://korolev.cian.ru/sale/flat/302086073/;Королёв;9;18;1;32,0;6950000;2020;26 ;6 ;;Советская ;Медведково;River Park
САМОЛЕТ ПЛЮС НЕДВИЖИМОСТЬ;real_estate_agent;https://korolev.cian.ru/sale/flat/305311826/;Королёв;9;12;2;47,6;7800000;-1;28,5 ;6,7 ;;Советская ;Медведково;
ID 15075409;realtor;https://korolev.cian.ru/sale/flat/297815135/;Королёв;10;12;2;52,5;8399000;1979;31 ;8,7 ;; Исаева;Медведково;
ID 110242886;homeowner;https://korolev.cian.ru/sale/flat/295374816/;Королёв;8;9;2;52,0;9000000;1985;36 ;-1,0;;Советская ;Ботанический сад;
Салет Плюс Москва ЮВАО;real_estate_agent;https://korolev.cian.ru/sale/flat/308524111/;Королёв;1;17;2;62,6;10500000;2014;22 ;18 ;; Акадека Легостаева;Щёлковская;Стрела
Светлана Антонова;realtor;https://korolev.cian.ru/sale/flat/307745958/;Королёв;9;17;3;73,8;13490000;-1;44,8 ;10,6 ;; М.К. Тихонравова;Медведково;
ПРОСПЕКТ;real_estate_agent;https://korolev.cian.ru/sale/flat/300223116/;Королёв;8;9;3;106,4;21000000;2002;56 ;12 ;;проспект Королева;Медведково;
ID 123112513;homeowner;https://korolev.cian.ru/sale/flat/308364614/;Королёв;2;9;1;35,0;7200000;1969;-1,0;6 ;;проспект Королева;Медведково;
СИТИ21;developer;https://krasnogorsk.cian.ru/sale/flat/276781279/;Красногорск;2;6;4;106,1;25753277;2024;-1,0;-1,0;;аллея Золотая;Опалиха;8 кленов
СИТИ21;developer;https://krasnogorsk.cian.ru/sale/flat/297605109/;Красногорск;1;6;2;64,5;18104212;2024;-1,0;-1,0;;аллея Золотая;Опалиха;8 кленов
ГОРОДА;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/306951948/;Красногорск;31;32;3;60,0;20900000;2022;38 ;10 ;; Липовой Рощи;Липовая Роща;Sky Sputnik
RainbowEstate;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/298854757/;Красногорск;7;25;1;37,4;6000000;2023;13,5 ;12 ;;бульвар Коснавтов;Опалиха;Изуудные хол
Олеся Шебанова;realtor;https://krasnogorsk.cian.ru/sale/flat/303958923/;Красногорск;9;9;1;34,0;7000000;1984;17 ;7 ;; Ленина;Павшино;
Валентина Тетенькина;realtor;https://krasnogorsk.cian.ru/sale/flat/302279660/;Красногорск;4;17;1;33,6;8064000;2020;15,8 ;9 ;; Народного Ополчения;Митино;Брусчатый поселок
FIVE Realty;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/307898273/;Красногорск;20;28;2;34,5;9000000;2024;-1,0;-1,0;;;Строгино;Спутник ЖК
Светлана Хрипунова;realtor;https://krasnogorsk.cian.ru/sale/flat/302242394/;Красногорск;1;4;2;70,0;9900000;1936;45 ;11 ;;Октябрьская ;Павшино;
Dream Realty;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/307632450/;Красногорск;5;6;1;51,0;10250000;2024;16 ;18,2 ;;аллея Золотая;Опалиха;8 кленов
Сергей Вячеславович Ерков;realtor;https://krasnogorsk.cian.ru/sale/flat/307086901/;Красногорск;11;14;2;64,1;11000000;2006;33 ;11,6 ;;Успенская ;Красногорская;
Landis;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/308095874/;Красногорск;24;25;2;35,6;11500000;2017;18 ;10 ;; Молодежная;Пенягино;Молодежный (Красногорск)
Салет Плюс Красногорск;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/307137883/;Красногорск;16;17;2;73,0;12500000;-1;39 ;15 ;;Успенская ;Опалиха;
