author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
Апрелевка С2;developer;https://www.cian.ru/sale/flat/301203205/;Москва;1;3;1;40,9;7198400;2022;-1,0;-1,0;ТАО (Троицкий); Генерала Донскова;;Борисоглебское
ID 123702083;realtor;https://www.cian.ru/sale/flat/309066258/;Москва;14;14;1;40,0;7380000;2009;17 ;8,5 ;Южное Бутово; Брусилова;Щербинка;
Апрелевка С2;developer;https://www.cian.ru/sale/flat/297846888/;Москва;1;3;1;45,9;7435800;2023;-1,0;-1,0;; Генерала Донскова;Апрелевка;Борисоглебское
Апрелевка С2;developer;https://www.cian.ru/sale/flat/291103112/;Москва;2;3;1;45,5;7371000;2023;-1,0;-1,0;ТАО (Троицкий); Генерала Донскова;;Борисоглебское
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;8;9;1;57,6;117936000;2023;-1,0;-1,0;Тверской;1-я Тверская-Якая ;Маяковская;Vesper Tverskaya
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;9;40;1;41,5;32000000;-1;23,4 ;4,9 ;Хорошевский;Ленинградский проспект;ЦСКА;ПрайПарк
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;13;41;1;41,5;31000000;-1;23,4 ;4,9 ;Хорошевский;Ленинградский проспект;Аэропорт;ПрайПарк
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Москва;3;20;1;59,0;61800000;2023;39 ;15 ;Пресненский; Костикова;Улица 1905 года;Lucky
ID 148596;homeowner;https://www.cian.ru/sale/flat/268629674/;Москва;10;10;1;38,5;11280000;1994;20,7 ;8,4 ;Выхино-Жулебино;Жулебинский бульвар;Лернтовский проспект;
VESPER;developer;https://www.cian.ru/sale/flat/306541560/;Москва;5;21;1;65,9;82172522;2023;18,8 ;24,9 ;Пресненский; Костикова;Улица 1905 года;Lucky
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/307810501/;Москва;75;95;1;57,0;47000000;2017;37 ;10 ;Пресненский;набережная Пресненская;Деловой центр;Башня Федерация
Тир Ярыш;realtor;https://www.cian.ru/sale/flat/305756213/;Москва;21;30;1;36,5;13000000;2024;9,7 ;19,2 ;Южнопортовый;Волгоградский проспект;Угрешская;Метрополия
ID 112609323;realtor;https://www.cian.ru/sale/flat/307205775/;Москва;4;6;1;59,4;101785250;2024;48,9 ;-1,0;Мещанский; Кузнецкий Мост;Кузнецкий ст;Kuznetsky Most 12 by Lalique
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307496200/;Москва;1;10;1;31,0;14500000;-1;20 ;6 ;Ранки;Мичуринский проспект;Лоносовский проспект;
Главстрой;developer;https://www.cian.ru/sale/flat/296921064/;Москва;2;16;1;45,0;23274675;2024;16,4 ;14,6 ;Филевский парк;Береговой проезд;Фили;Береговой-2
ID 56317;homeowner;https://www.cian.ru/sale/flat/308812807/;Москва;10;22;1;38,2;12600000;2005;19 ;10 ;Солнцево;Производственная ;Солнцево;
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679592/;Москва;7;20;1;439,0;20252300;2024;10,6 ;18,7 ;Даниловский;Автозаводская ;Тульская;FORST
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/308833375/;Москва;15;28;1;40,0;30500000;2022;16 ;18 ;Ранки;Винницкая ;Ранки;Настоящее
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/307494611/;Москва;2;44;1;48,1;25000000;2018;30 ;3 ;Пресненский;Ходынская ;Улица 1905 года;Пресня Сити
